gender;age;bmi_3;bmi_5;bmi_10;bmi_25;bmi_50;bmi_75;bmi_85;bmi_90;bmi_95;bmi_97
M;14.125;15.70536;16.03667;16.594;17.68347;19.21558;21.27811;22.7299276;23.91706081;26.11534887;27.95102462
M;14.20833333;15.75019;16.0829;16.64254;17.73624;19.27366;21.34185;22.79642886;23.98496068;26.18352944;28.01685913
M;14.29166667;15.79524;16.12934;16.69126;17.78917;19.33182;21.40554;22.86275131;24.05256549;26.25116959;28.08192768
M;14.375;15.84049;16.17598;16.74017;17.84225;19.39006;21.46916;22.92889179;24.11987476;26.31827569;28.14624467
M;14.45833333;15.88593;16.2228;16.78924;17.89546;19.44837;21.53272;22.99484741;24.18688841;26.38485476;28.20982542
M;14.54166667;15.93155;16.2698;16.83848;17.9488;19.50673;21.5962;23.06061552;24.25360674;26.45091448;28.27268613
M;14.625;15.97734;16.31696;16.88787;18.00225;19.56514;21.65961;23.12619375;24.3200304;26.51646321;28.33484391
M;14.70833333;16.02329;16.36427;16.9374;18.05581;19.6236;21.72294;23.19157996;24.38616048;26.58150994;28.39631678
M;14.79166667;16.06939;16.41172;16.98706;18.10947;19.68208;21.78618;23.25677226;24.4519984;26.64606434;28.45712363
M;14.875;16.11562;16.4593;17.03683;18.16322;19.7406;21.84932;23.32176902;24.517546;26.71013675;28.51728428
M;14.95833333;16.16198;16.507;17.08672;18.21704;19.79912;21.91237;23.38656886;24.5828055;26.77373817;28.57681946
M;15.04166667;16.20844;16.55481;17.1367;18.27093;19.85766;21.97532;23.45117065;24.64777949;26.83688026;28.63575076
M;15.125;16.25501;16.60271;17.18676;18.32488;19.9162;22.03816;23.5155735;24.71247097;26.89957537;28.69410072
M;15.20833333;16.30166;16.6507;17.23689;18.37887;19.97473;22.10089;23.57977678;24.77688329;26.96183652;28.75189275
M;15.29166667;16.34839;16.69875;17.28709;18.4329;20.03324;22.1635;23.6437801;24.84102024;27.02367739;28.80915118
